|dakkon blackblade|legendary|creature||human warrior|*/*|{^^WWUUUUBB}|@'s power and toughness are each equal to the number of lands you control.|
|perilous myr||artifact creature||myr|&^/&^|{^^}|when @ dies, it deals &^^ damage to target creature or player.|

|opal archangel||enchantment||||{^^^^WW}|when an opponent casts a creature spell, if @ is an enchantment, @ becomes a &^^^^^/&^^^^^ angel creature with flying and vigilance.|

|merchant of secrets||creature||human wizard|&^/&^|{^^UU}|when @ enters the battlefield, draw a card.|

|seraph of the sword||creature||angel|&^^^/&^^^|{^^^WW}|flying\prevent all combat damage that would be dealt to @.|

|carrion howler||creature||zombie wolf|&^^/&^^|{^^^BB}|pay &^ life: @ gets +&^^/-&^ until end of turn.|

|wind shear||instant||||{^^GG}|attacking creatures with flying get -&^^/-&^^ and lose flying until end of turn.|

|venser's diffusion||instant||||{^^UU}|return target nonland permanent or suspended card to its owner's hand.|

|awaken the bear||instant||||{^^GG}|target creature gets +&^^^/+&^^^ and gains trample until end of turn.|

|hyperion blacksmith||creature||human artificer|&^^/&^^|{^RRRR}|T: you may tap or untap target artifact an opponent controls.|

|seht's tiger||creature||cat|&^^^/&^^^|{^^WWWW}|flash\when @ enters the battlefield, you gain protection from the color of your choice until end of turn.|

|vendilion clique|legendary|creature||faerie wizard|&^^^/&^|{^UUUU}|flash\flying\when @ enters the battlefield, look at target player's hand. you may choose a nonland card from it. if you do, that player reveals the chosen card, puts it on the bottom of his or her library, then draws a card.|

|wall of blossoms||creature||plant wall|&/&^^^^|{^GG}|defender\when @ enters the battlefield, draw a card.|

|scour from existence||instant||||{^^^^^^^}|exile target permanent.|

|aegis of honor||enchantment||||{WW}|{^}: the next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.|

|ezuri's archers||creature||elf archer|&^/&^^|{GG}|reach\whenever @ blocks a creature with flying, @ gets +&^^^/+& until end of turn.|

|human frailty||instant||||{BB}|destroy target human creature.|

|meloku the clouded mirror|legendary|creature||moonfolk wizard|&^^/&^^^^|{^^^^UU}|flying\{^}, return a land you control to its owner's hand: put a &^/&^ blue illusion creature token with flying onto the battlefield.|

|jackal pup||creature||hound|&^^/&^|{RR}|whenever @ is dealt damage, it deals that much damage to you.|

|semblance anvil||artifact||||{^^^}|imprint ~ when @ enters the battlefield, you may exile a nonland card from your hand.\spells you cast that share a card type with the exiled card cost {^^} less to cast.|

|harrow||instant||||{^^GG}|as an additional cost to cast @, sacrifice a land.\search your library for up to two basic land cards and put them onto the battlefield. then shuffle your library.|

|carnage gladiator||creature||skeleton warrior|&^^^^/&^^|{^^BBRR}|whenever a creature blocks, that creature's controller loses &^ life.\{^BBRR}: regenerate @.|

|tangle spider||creature||spider|&^^^/&^^^^|{^^^^GGGG}|flash\reach|

|wu light cavalry||creature||human soldier|&^/&^^|{^UU}|horsemanship|

|okiba~gang shinobi||creature||rat ninja|&^^^/&^^|{^^^BBBB}|ninjutsu {^^^BB}\whenever @ deals combat damage to a player, that player discards two cards.|

|merfolk assassin||creature||merfolk assassin|&^/&^^|{UUUU}|T: destroy target creature with islandwalk.|

|tel~jilad fallen||creature||elf warrior|&^^^/&^|{^^GGGG}|protection from artifacts\infect|

|skyshroud ranger||creature||elf|&^/&^|{GG}|T: you may put a land card from your hand onto the battlefield. activate this ability only any time you could cast a sorcery.|

|streetbreaker wurm||creature||wurm|&^^^^^^/&^^^^|{^^^RRGG}||

|duplicity||enchantment||||{^^^UUUU}|when @ enters the battlefield, exile the top five cards of your library face down.\at the beginning of your upkeep, you may exile all cards from your hand face down. if you do, put all other cards you own exiled with @ into your hand.\at the beginning of your end step, discard a card.\when you lose control of @, put all cards exiled with @ into their owner's graveyard.|

|molten slagheap||land|||||T: add {CC} to your mana pool.\{^}, T: put a % counter on @.\{^}, remove X % counters from @: add X mana in any combination of {BB} and/or {RR} to your mana pool.\countertype % storage|

|arcbound crusher||artifact creature||juggernaut|&/&|{^^^^}|trample\modular &^\whenever another artifact enters the battlefield, put a +&^/+&^ counter on @.|

|blue scarab||enchantment||aura||{WW}|enchant creature\enchanted creature can't be blocked by blue creatures.\enchanted creature gets +&^^/+&^^ as long as an opponent controls a blue permanent.|

|conservator||artifact||||{^^^^}|{^^^}, T: prevent the next &^^ damage that would be dealt to you this turn.|

|path of anger's flame||instant||arcane||{^^RR}|creatures you control get +&^^/+& until end of turn.|

|furyborn hellkite||creature||dragon|&^^^^^^/&^^^^^^|{^^^^RRRRRR}|bloodthirst &^^^^^^\flying|

|shaper parasite||creature||illusion|&^^/&^^^|{^UUUU}|morph {^^UU}\when @ is turned face up, target creature gets +&^^/-&^^ or -&^^/+&^^ until end of turn.|

|nightsnare||sorcery||||{^^^BB}|target opponent reveals his or her hand. you may choose a nonland card from it. if you do, that player discards that card. if you don't, that player discards two cards.|

|karn liberated||planeswalker|&^^^^^^|karn||{^^^^^^^}|+&^^^^: target player exiles a card from his or her hand.\-&^^^: exile target permanent.\-&^^^^^^^^^^^^^^: restart the game, leaving in exile all non~aura permanent cards exiled with @. then put those cards onto the battlefield under your control.|

|cranial plating||artifact||equipment||{^^}|equip {^}\equipped creature gets +&^/+& for each artifact you control.\{BBBB}: attach @ to target creature you control.|

|repel intruders||instant||||{^^^WU}|put two &^/&^ white kithkin soldier creature tokens onto the battlefield if {WW} was spent to cast @. uncast up to one target creature spell if {UU} was spent to cast @.|

|brindle shoat||creature||boar|&^/&^|{^GG}|when @ dies, put a &^^^/&^^^ green boar creature token onto the battlefield.|

|drifting meadow||land|||||cycling {^^}\@ enters the battlefield tapped.\T: add {WW} to your mana pool.|

|petrified field||land|||||T: add {CC} to your mana pool.\T, sacrifice @: return target land card from your graveyard to your hand.|

|avenging angel||creature||angel|&^^^/&^^^|{^^^WWWW}|flying\when @ dies, you may put it on top of its owner's library.|

|become immense||instant||||{^^^^^GG}|delve\target creature gets +&^^^^^^/+&^^^^^^ until end of turn.|

|crystal vein||land|||||T: add {CC} to your mana pool.\T, sacrifice @: add {CCCC} to your mana pool.|

|lobber crew||creature||goblin warrior|&/&^^^^|{^^RR}|defender\T: @ deals &^ damage to each opponent.\whenever you cast a multicolored spell, untap @.|

|child of night||creature||vampire|&^^/&^|{^BB}|lifelink|

|tidewalker||creature||elemental|*/*|{^^UU}|vanishing\@ enters the battlefield with a % counter on it for each island you control.\@'s power and toughness are each equal to the number of % counters on it.\countertype % time|

|amphin cutthroat||creature||salamander rogue|&^^/&^^^^|{^^^UU}||

|vassal's duty||enchantment||||{^^^WW}|{^}: the next &^ damage that would be dealt to target legendary creature you control this turn is dealt to you instead.|

|separatist voidmage||creature||human wizard|&^^/&^^|{^^^UU}|when @ enters the battlefield, you may return target creature to its owner's hand.|

|sunhome enforcer||creature||giant soldier|&^^/&^^^^|{^^RRWW}|whenever @ deals combat damage, you gain that much life.\{^RR}: @ gets +&^/+& until end of turn.|

|betrayal||enchantment||aura||{UU}|enchant creature an opponent controls\whenever enchanted creature becomes tapped, you draw a card.|

|pianna, nomad captain|legendary|creature||human nomad|&^^/&^^|{^WWWW}|whenever @ attacks, attacking creatures get +&^/+&^ until end of turn.|

|chalice of the void||artifact||||{XXXX}|@ enters the battlefield with X % counters on it.\whenever a player casts a spell with converted mana cost equal to the number of % counters on @, uncast that spell.\countertype % charge|

|spinebiter||creature||beast|&^^^/&^^^^|{^^^^GGGG}|infect\you may have @ assign its combat damage as though it weren't blocked.|

|ghostly flicker||instant||||{^^UU}|exile two target artifacts, creatures, and/or lands you control, then return those cards to the battlefield under your control.|

|nyxathid||creature||elemental|&^^^^^^^/&^^^^^^^|{^BBBB}|as @ enters the battlefield, choose an opponent.\@ gets -&^/-&^ for each card in the chosen player's hand.|

|goblin piker||creature||goblin warrior|&^^/&^|{^RR}||

|blaster mage||creature||human spellshaper|&^^/&^^|{^^RR}|{RR}, T, discard a card: destroy target wall.|

|reckless scholar||creature||human wizard|&^^/&^|{^^UU}|T: target player draws a card, then discards a card.|

|scuzzback marauders||creature||goblin warrior|&^^^^^/&^^|{^^^^RG}|trample\persist|

|purphoros's emissary||enchantment creature||ox|&^^^/&^^^|{^^^RR}|bestow {^^^^^^RR}\menace\enchanted creature gets +&^^^/+&^^^ and has menace.|

|port inspector||creature||human|&^/&^^|{^UU}|whenever @ becomes blocked, you may look at defending player's hand.|

|bellowing tanglewurm||creature||wurm|&^^^^/&^^^^|{^^^GGGG}|intimidate\other green creatures you control have intimidate.|

|simic fluxmage||creature||merfolk wizard|&^/&^^|{^^UU}|evolve\{^UU}, T: move a +&^/+&^ counter from @ onto target creature.|

|gaea's avenger||creature||treefolk|&^+*/&^+*|{^GGGG}|@'s power and toughness are each equal to &^ plus the number of artifacts your opponents control.|

|canker abomination||creature||treefolk horror|&^^^^^^/&^^^^^^|{^^BGBG}|as @ enters the battlefield, choose an opponent. @ enters the battlefield with a -&^/-&^ counter on it for each creature that player controls.|

|drogskol reaver||creature||spirit|&^^^/&^^^^^|{^^^^^WWUU}|flying\double strike\lifelink\whenever you gain life, draw a card.|

|mortipede||creature||insect|&^^^^/&^|{^^^BB}|{^^GG}: all creatures able to block @ this turn do so.|

|dogpile||instant||||{^^^RR}|@ deals damage to target creature or player equal to the number of attacking creatures you control.|

|primeval shambler||creature||horror mercenary|&^^^/&^^^|{^^^^BB}|{BB}: @ gets +&^/+&^ until end of turn.|

|yule ooze||creature||ooze|&^/&^|{^^RRGG}|at the beginning of your upkeep, destroy another nonland permanent chosen at random, then put a number of +&^/+&^ counters on @ equal to that permanent's converted mana cost.\{RRGG}, eat some food: regenerate @.|

|call the skybreaker||sorcery||||{^^^^^URUR}|retrace\put a &^^^^^/&^^^^^ blue and red elemental creature token with flying onto the battlefield.|

|cruel deceiver||creature||spirit|&^^/&^|{^BB}|{^}: look at the top card of your library.\{^^}: reveal the top card of your library. if it's a land card, @ gains "whenever @ deals damage to a creature, destroy that creature" until end of turn. activate this ability only once each turn.|

|intrepid hero||creature||human soldier|&^/&^|{^^WW}|T: destroy target creature with power &^^^^ or greater.|

|patron of the nezumi|legendary|creature||spirit|&^^^^^^/&^^^^^^|{^^^^^BBBB}|rat offering\whenever a permanent is put into an opponent's graveyard, that player loses &^ life.|

|djinn illuminatus||creature||djinn|&^^^/&^^^^^|{^^^^^URUR}|\flying\each instant and sorcery spell you cast has replicate. the replicate cost is equal to its mana cost.|

|tor giant||creature||giant|&^^^/&^^^|{^^^RR}||

|celestial colonnade||land|||||@ enters the battlefield tapped.\T: add {WW} or {UU} to your mana pool.\{^^^WWUU}: until end of turn, @ becomes a &^^^^/&^^^^ white and blue elemental creature with flying and vigilance. it's still a land.|

|hopping automaton||artifact creature||construct|&^^/&^^|{^^^}|{}: @ gets -&^/-&^ and gains flying until end of turn.|

|broodbirth viper||creature||snake|&^^^/&^^^|{^^^^UU}|myriad\whenever @ deals combat damage to a player, you may draw a card.|

|kavu howler||creature||kavu|&^^^^/&^^^^^|{^^^^GGGG}|when @ enters the battlefield, reveal the top four cards of your library. put all kavu cards revealed this way into your hand and the rest on the bottom of your library in any order.|

|orc general||creature||orc warrior|&^^/&^^|{^^RR}|T, sacrifice another orc or goblin: other orc creatures get +&^/+&^ until end of turn.|

|evasive action||instant||||{^UU}|domain ~ uncast target spell unless its controller pays {^} for each basic land type among lands you control.|

|roc of kher ridges||creature||bird|&^^^/&^^^|{^^^RR}|flying|

|sleeper's guile||enchantment||aura||{^^BB}|enchant creature\enchanted creature has fear.\when @ is put into a graveyard from the battlefield, return @ to its owner's hand.|

|sword of vengeance||artifact||equipment||{^^^}|equip {^^^}\equipped creature gets +&^^/+& and has first strike, vigilance, trample, and haste.|

|deathknell kami||creature||spirit|&/&^|{^BB}|flying\soulshift &^\{^^}: @ gets +&^/+&^ until end of turn. sacrifice it at the beginning of the next end step.|

|overwhelming stampede||sorcery||||{^^^GGGG}|until end of turn, creatures you control gain trample and get +X/+X, where X is the greatest power among creatures you control.|

|lantern~lit graveyard||land|||||T: add {CC} to your mana pool.\T: add {BB} or {RR} to your mana pool. @ doesn't untap during your next untap step.|

|kor castigator||creature||kor wizard ally|&^^^/&^|{^WW}|@ can't be blocked by eldrazi scions.|

|dragonstalker||creature||bird soldier|&^^^/&^^^|{^^^^WW}|flying\protection from dragons|

|nessian asp||creature||snake|&^^^^/&^^^^^|{^^^^GG}|reach\{^^^^^^GG}: monstrosity &^^^^.|

|discombobulate||instant||||{^^UUUU}|uncast target spell. look at the top four cards of your library, then put them back in any order.|

|markov blademaster||creature||vampire warrior|&^/&^|{^RRRR}|double strike\whenever @ deals combat damage to a player, put a +&^/+&^ counter on it.|

|slagstorm||sorcery||||{^RRRR}|[&^ = @ deals &^^^ damage to each creature. = @ deals &^^^ damage to each player.]|

|goblin flotilla||creature||goblin|&^^/&^^|{^^RR}|islandwalk\at the beginning of each combat, unless you pay {RR}, whenever @ blocks or becomes blocked by a creature this combat, that creature gains first strike until end of turn.|

|etched monstrosity||artifact creature||golem|&^^^^^^^^^^/&^^^^^^^^^^|{^^^^^}|@ enters the battlefield with five -&^/-&^ counters on it.\{WWUUBBRRGG}, remove five -&^/-&^ counters from @: target player draws three cards.|

|burnout||instant||||{^RR}|uncast target instant spell if it's blue.\draw a card at the beginning of the next turn's upkeep.|

|seton's desire||enchantment||aura||{^^GG}|enchant creature\enchanted creature gets +&^^/+&^^.\threshold ~ as long as seven or more cards are in your graveyard, all creatures able to block enchanted creature do so.|

|spiketail drakeling||creature||drake|&^^/&^^|{^UUUU}|flying\sacrifice @: uncast target spell unless its controller pays {^^}.|

|grove of the guardian||land|||||T: add {CC} to your mana pool.\{^^^GGWW}, T, tap two untapped creatures you control, sacrifice @: put an &^^^^^^^^/&^^^^^^^^ green and white elemental creature token with vigilance onto the battlefield.|

|flowstone salamander||creature||salamander|&^^^/&^^^^|{^^^RRRR}|{RR}: @ deals &^ damage to target creature blocking it.|

|oran~rief hydra||creature||hydra|&^^^^^/&^^^^^|{^^^^GGGG}|trample\landfall ~ whenever a land enters the battlefield under your control, put a +&^/+&^ counter on @. if that land is a forest, put two +&^/+&^ counters on @ instead.|

|pollen lullaby||instant||||{^WW}|prevent all combat damage that would be dealt this turn. clash with an opponent. if you win, creatures that player controls don't untap during the player's next untap step.|

|urgent exorcism||instant||||{^WW}|destroy target spirit or enchantment.|

|purphoros, god of the forge|legendary|enchantment creature||god|&^^^^^^/&^^^^^|{^^^RR}|indestructible\as long as your devotion to red is less than five, @ isn't a creature.\whenever another creature enters the battlefield under your control, @ deals &^^ damage to each opponent.\{^^RR}: creatures you control get +&^/+& until end of turn.|

|daghatar the adamant|legendary|creature||human warrior|&/&|{^^^WW}|vigilance\@ enters the battlefield with four +&^/+&^ counters on it.\{^BGBG}: move a +&^/+&^ counter from target creature onto a second target creature.|

|darkling stalker||creature||shade spirit|&^/&^|{^^^BB}|{BB}: regenerate @.\{BB}: @ gets +&^/+&^ until end of turn.|

|crater hellion||creature||hellion beast|&^^^^^^/&^^^^^^|{^^^^RRRR}|echo {^^^^RRRR}\when @ enters the battlefield, it deals &^^^^ damage to each other creature.|

|eternity vessel||artifact||||{^^^^^^}|@ enters the battlefield with X % counters on it, where X is your life total.\landfall ~ whenever a land enters the battlefield under your control, you may have your life total become the number of % counters on @.\countertype % charge|

|valiant guard||creature||human soldier|&/&^^^|{WW}||

|spell blast||instant||||{XXUU}|uncast target spell with converted mana cost X.|

|grixis panorama||land|||||T: add {CC} to your mana pool.\{^}, T, sacrifice @: search your library for a basic island, swamp, or mountain card and put it onto the battlefield tapped. then shuffle your library.|

|barbarian guides||creature||human barbarian|&^/&^^|{^^RR}|{^^RR}, T: choose a land type. target creature you control gains snow landwalk of the chosen type until end of turn. return that creature to its owner's hand at the beginning of the next end step.|

|aura finesse||instant||||{UU}|attach target aura you control to target creature.\draw a card.|

|will~forged golem||artifact creature||golem|&^^^^/&^^^^|{^^^^^^}|convoke|

|krond the dawn~clad|legendary|creature||archon|&^^^^^^/&^^^^^^|{GGGGGGWWWWWW}|flying\vigilance\whenever @ attacks, if it's enchanted, exile target permanent.|

|magmaquake||instant||||{XXRRRR}|@ deals X damage to each creature without flying and each planeswalker.|

|wavecrash triton||creature||merfolk wizard|&^/&^^^^|{^^UU}|heroic ~ whenever you cast a spell that targets @, tap target creature an opponent controls. that creature doesn't untap during its controller's next untap step.|

|drudge spell||enchantment||||{BBBB}|{BB}, exile two creature cards from your graveyard: put a &^/&^ black skeleton creature token onto the battlefield. it has "{BB}: regenerate this creature."\when @ leaves the battlefield, destroy all skeleton tokens. they can't be regenerated.|

|zombie cannibal||creature||zombie|&^/&^|{BB}|whenever @ deals combat damage to a player, you may exile target card from that player's graveyard.|

|reaping the rewards||instant||||{WW}|buyback~sacrifice a land.\you gain &^^ life.|

|terra eternal||enchantment||||{^^WW}|all lands have indestructible.|

|death's presence||enchantment||||{^^^^^GG}|whenever a creature you control dies, put X +&^/+&^ counters on target creature you control, where X is the power of the creature that died.|

|tree of redemption||creature||plant|&/&^^^^^^^^^^^^^|{^^^GG}|defender\T: exchange your life total with @'s toughness.|

|ashenmoor gouger||creature||elemental warrior|&^^^^/&^^^^|{BRBRBR}|@ can't block.|

|mind warp||sorcery||||{XX^^^BB}|look at target player's hand and choose X cards from it. that player discards those cards.|

|uktabi faerie||creature||faerie|&^/&^|{^GG}|flying\{^^^GG}, sacrifice @: destroy target artifact.|

|echoing calm||instant||||{^WW}|destroy target enchantment and all other enchantments with the same name as that enchantment.|

|mind slash||enchantment||||{^BBBB}|{BB}, sacrifice a creature: target opponent reveals his or her hand. you choose a card from it. that player discards that card. activate this ability only any time you could cast a sorcery.|

|shell skulkin||artifact creature||scarecrow|&^^^/&^^|{^^^^}|{^^^}: target blue creature gains shroud until end of turn.|

|slum reaper||creature||horror|&^^^^/&^^|{^^^BB}|when @ enters the battlefield, each player sacrifices a creature.|

|lord of extinction||creature||elemental|*/*|{^^^BBGG}|@'s power and toughness are each equal to the number of cards in all graveyards.|

|temporal isolation||enchantment||aura||{^WW}|enchant creature\flash\enchanted creature has shadow.\prevent all damage that would be dealt by enchanted creature.|

|kabira vindicator||creature||human knight|&^^/&^^^^|{^^^WW}|level up {^^WW} \level &^^~&^^^^\&^^^/&^^^^^^\other creatures you control get +&^/+&^.\level &^^^^^~\&^^^^/&^^^^^^^^\other creatures you control get +&^^/+&^^.|

|glarewielder||creature||elemental shaman|&^^^/&^|{^^^^RR}|haste\evoke {^RR}\when @ enters the battlefield, up to two target creatures can't block this turn.|

|natural state||instant||||{GG}|destroy target artifact or enchantment with converted mana cost &^^^ or less.|

|borborygmos|legendary|creature||cyclops|&^^^^^^/&^^^^^^^|{^^^RRRRGGGG}|trample\whenever @ deals combat damage to a player, put a +&^/+&^ counter on each creature you control.|

|basilica guards||creature||human soldier|&^/&^^^^|{^^WW}|defender\extort|

|selesnya sentry||creature||elephant soldier|&^^^/&^^|{^^WW}|{^^^^^GG}: regenerate @.|

|walking desecration||creature||zombie|&^/&^|{^^BB}|{BB}, T: creatures of the creature type of your choice attack this turn if able.|

|sibsig icebreakers||creature||zombie|&^^/&^^^|{^^BB}|when @ enters the battlefield, each player discards a card.|

|lotus vale||land|||||if @ would enter the battlefield, sacrifice two untapped lands instead. if you do, put @ onto the battlefield. if you don't, put it into its owner's graveyard.\T: add three mana of any one color to your mana pool.|

|crazed firecat||creature||elemental cat|&^^^^/&^^^^|{^^^^^RRRR}|when @ enters the battlefield, flip a coin until you lose a flip. put a +&^/+&^ counter on @ for each flip you win.|

|vision charm||instant||||{UU}|\[&^ = target player puts the top four cards of his or her library into his or her graveyard. = choose a land type and a basic land type. each land of the first chosen type becomes the second chosen type until end of turn. = target artifact phases out.]|

|emerald charm||instant||||{GG}|[&^ = untap target permanent. = destroy target non~aura enchantment. = target creature loses flying until end of turn.]|

|yeva's forcemage||creature||elf shaman|&^^/&^^|{^^GG}|when @ enters the battlefield, target creature gets +&^^/+&^^ until end of turn.|

|flare||instant||||{^^RR}|@ deals &^ damage to target creature or player.\draw a card at the beginning of the next turn's upkeep.|

|sigarda, host of herons|legendary|creature||angel|&^^^^^/&^^^^^|{^^GGWWWW}|flying\hexproof\spells and abilities your opponents control can't cause you to sacrifice permanents.|

|sapling of colfenor|legendary|creature||treefolk shaman|&^^/&^^^^^|{^^^BGBG}|indestructible\whenever @ attacks, reveal the top card of your library. if it's a creature card, you gain life equal to that card's toughness, lose life equal to its power, then put it into your hand.|

|rabble~rouser||creature||goblin shaman|&^/&^|{^^^RR}|bloodthirst &^\{RR}, T: attacking creatures get +X/+& until end of turn, where X is @'s power.|

|erg raiders||creature||human warrior|&^^/&^^^|{^BB}|at the beginning of your end step, if @ didn't attack this turn, @ deals &^^ damage to you unless it came under your control this turn.|

|coastal wizard||creature||human wizard|&^/&^|{^^UUUU}|T: return @ and another target creature to their owners' hands. activate this ability only during your turn, before attackers are declared.|

|nefashu||creature||zombie mutant|&^^^^^/&^^^|{^^^^BBBB}|whenever @ attacks, up to five target creatures each get -&^/-&^ until end of turn.|

|peek||instant||||{UU}|look at target player's hand.\draw a card.|

|enrage||instant||||{XXRR}|target creature gets +X/+& until end of turn.|

|unworthy dead||creature||skeleton|&^/&^|{^BB}|{BB}: regenerate @.|

|molder slug||creature||slug beast|&^^^^/&^^^^^^|{^^^GGGG}|at the beginning of each player's upkeep, that player sacrifices an artifact.|

|bile urchin||creature||spirit|&^/&^|{BB}|sacrifice @: target player loses &^ life.|

|mage slayer||artifact||equipment||{^RRGG}|equip {^^^}\whenever equipped creature attacks, it deals damage equal to its power to defending player.|

|whetstone||artifact||||{^^^}|{^^^}: each player puts the top two cards of his or her library into his or her graveyard.|

|dream thief||creature||faerie rogue|&^^/&^|{^^UU}|flying\when @ enters the battlefield, draw a card if you've cast another blue spell this turn.|

|lich's mirror||artifact||||{^^^^^}|if you would lose the game, instead shuffle your hand, your graveyard, and all permanents you own into your library, then draw seven cards and your life total becomes &^^^^^^^^^^^^^^^^^^^^.|

|apathy||enchantment||aura||{UU}|enchant creature\enchanted creature doesn't untap during its controller's untap step.\at the beginning of the upkeep of enchanted creature's controller, that player may discard a card at random. if he or she does, untap that creature.|

|resounding thunder||instant||||{^^RR}|cycling {^^^^^BBRRGG}\@ deals &^^^ damage to target creature or player.\when you cycle @, it deals &^^^^^^ damage to target creature or player.|

|elvish fury||instant||||{GG}|buyback {^^^^}\target creature gets +&^^/+&^^ until end of turn.|

|solemn offering||sorcery||||{^^WW}|destroy target artifact or enchantment. you gain &^^^^ life.|

|timberwatch elf||creature||elf|&^/&^^|{^^GG}|T: target creature gets +X/+X until end of turn, where X is the number of elves on the battlefield.|

|fated return||instant||||{^^^^BBBBBB}|put target creature card from a graveyard onto the battlefield under your control. it gains indestructible. if it's your turn, scry &^^.|

|spur grappler||creature||beast|&^^/&^|{^^RR}|@ gets +&^^/+&^ as long as you control no untapped lands.|

|fyndhorn brownie||creature||ouphe|&^/&^|{^^GG}|{^^GG}, T: untap target creature.|

|goblin wizard||creature||goblin wizard|&^/&^|{^^RRRR}|T: you may put a goblin permanent card from your hand onto the battlefield.\{RR}: target goblin gains protection from white until end of turn.|

|viashino sandswimmer||creature||viashino|&^^^/&^^|{^^RRRR}|{RR}: flip a coin. if you win the flip, return @ to its owner's hand. if you lose the flip, sacrifice @.|

|fungusaur||creature||fungus lizard|&^^/&^^|{^^^GG}|whenever @ is dealt damage, put a +&^/+&^ counter on it.|

|controvert||instant||||{^^UUUU}|recover {^^UUUU}\uncast target spell.|

|touch of invisibility||sorcery||||{^^^UU}|target creature can't be blocked this turn.\draw a card.|

|merfolk raiders||creature||merfolk soldier|&^^/&^^^|{^UU}|islandwalk\phasing|

|voidwalk||sorcery||||{^^^UU}|cipher\exile target creature. return it to the battlefield under its owner's control at the beginning of the next end step.|

|oona's blackguard||creature||faerie rogue|&^/&^|{^BB}|flying\each other rogue creature you control enters the battlefield with an additional +&^/+&^ counter on it.\whenever a creature you control with a +&^/+&^ counter on it deals combat damage to a player, that player discards a card.|

|engulfing flames||instant||||{RR}|flashback {^^^RR}\@ deals &^ damage to target creature. it can't be regenerated this turn.|

|blazing hellhound||creature||elemental hound|&^^^^/&^^^|{^^BBRR}|{^}, sacrifice another creature: @ deals &^ damage to target creature or player.|

|splatter thug||creature||human warrior|&^^/&^^|{^^RR}|first strike\unleash|

|rampant elephant||creature||elephant|&^^/&^^|{^^^WW}|{GG}: target creature blocks @ this turn if able.|

|seismic mage||creature||human spellshaper|&^/&^|{^^^RR}|{^^RR}, T, discard a card: destroy target land.|

|remove||instant||||{UU}|cast @ only during the declare attackers step and only if you've been attacked this step.\return target attacking creature to its owner's hand.|

|acorn harvest||sorcery||||{^^^GG}|flashback~{^GG}, pay &^^^ life.\put two &^/&^ green squirrel creature tokens onto the battlefield.|

|waking nightmare||sorcery||arcane||{^^BB}|target player discards two cards.|

|engineered explosives||artifact||||{XX}|sunburst\{^^}, sacrifice @: destroy each nonland permanent with converted mana cost equal to the number of % counters on @.\countertype % charge|

